user,profile
user_4,"user_4 tends to enjoy content in the genres of Family, Romance, Sci-Fi, Action with sub-genres such as Coming-of-Age, Buddy, Fantasy. They particularly appreciate themes like Friendship, Family Bonds, Love, Courage and often engage with Movie, Other, Series type content. On the other hand, they are less interested in genres like Drama, Sci-Fi, Action, sub-genres such as Buddy, Coming-of-Age, and tend to avoid themes like Friendship, Betrayal, Love especially in Movie, Other, Series formats."
user_61,"user_61 tends to enjoy content in the genres of Thriller with sub-genres such as Crime. They particularly appreciate themes like Family Bonds and often engage with Other type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Slice of Life, Crime, and tend to avoid themes like Friendship, Courage especially in Series, Other formats."
user_77,"user_77 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Family, sub-genres such as Coming-of-Age, and tend to avoid themes like Friendship especially in Other formats."
user_87,"user_87 tends to enjoy content in the genres of Comedy, Drama with sub-genres such as Slice of Life, Coming-of-Age. They particularly appreciate themes like Betrayal, Adventure, Love and often engage with Other, Series type content. On the other hand, they are less interested in genres like Comedy, Drama, sub-genres such as Fantasy, and tend to avoid themes like Betrayal, Family Bonds especially in Other, Movie formats."
user_17,"user_17 tends to enjoy content in the genres of Family, Sci-Fi with sub-genres such as Slice of Life, Buddy. They particularly appreciate themes like Adventure, Courage and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Drama, Comedy, sub-genres such as Fantasy, Slice of Life, Buddy, and tend to avoid themes like Adventure, Family Bonds, Betrayal especially in Other, Movie formats."
user_43,"user_43 tends to enjoy content in the genres of Family, Action with sub-genres such as Buddy. They particularly appreciate themes like Family Bonds, Love and often engage with Other type content. On the other hand, they are less interested in genres like Action, Comedy, Family, sub-genres such as Fantasy, Coming-of-Age, Buddy, and tend to avoid themes like Courage, Betrayal, Family Bonds, Adventure especially in Series, Other formats."
user_2,"user_2 tends to enjoy content in the genres of Thriller with sub-genres such as Slice of Life. They particularly appreciate themes like Courage and often engage with Movie type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Buddy, and tend to avoid themes like Courage especially in Movie formats."
user_63,"user_63 tends to enjoy content in the genres of Thriller, Romance with sub-genres such as Buddy, Slice of Life, Fantasy. They particularly appreciate themes like Love, Betrayal, Family Bonds and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Thriller, Romance, sub-genres such as Crime, Fantasy, and tend to avoid themes like Love, Betrayal especially in Other, Movie formats."
user_46,"user_46 tends to enjoy content in the genres of Romance with sub-genres such as Coming-of-Age. They particularly appreciate themes like Adventure and often engage with Series type content. On the other hand, they are less interested in genres like Action, Thriller, Family, sub-genres such as Coming-of-Age, Crime, and tend to avoid themes like Courage, Friendship, Love especially in Movie, Other formats."
user_45,"user_45 tends to enjoy content in the genres of Comedy, Family, Romance with sub-genres such as Buddy, Fantasy. They particularly appreciate themes like Betrayal, Friendship, Courage, Family Bonds and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Coming-of-Age, and tend to avoid themes like Adventure especially in Movie formats."
user_57,"user_57 tends to enjoy content in the genres of Romance, Action, Family with sub-genres such as Fantasy, Coming-of-Age, Crime. They particularly appreciate themes like Courage, Love and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Drama, Comedy, Thriller, sub-genres such as Buddy, Fantasy, Slice of Life, and tend to avoid themes like Family Bonds, Courage, Friendship, Adventure, Love especially in Other, Series formats."
user_27,"user_27 tends to enjoy content in the genres of Family, Drama, Thriller, Romance with sub-genres such as Fantasy, Crime, Coming-of-Age, Slice of Life. They particularly appreciate themes like Courage, Friendship, Love, Betrayal and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Sci-Fi, Action, sub-genres such as Slice of Life, Buddy, and tend to avoid themes like Courage, Family Bonds, Love especially in Series, Movie formats."
user_53,"user_53 tends to enjoy content in the genres of Sci-Fi, Romance, Thriller with sub-genres such as Coming-of-Age, Slice of Life, Fantasy. They particularly appreciate themes like Betrayal, Friendship, Adventure and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Comedy, Romance, Thriller, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Betrayal, Adventure, Family Bonds especially in Series, Other, Movie formats."
user_6,"user_6 tends to enjoy content in the genres of Drama with sub-genres such as Fantasy. They particularly appreciate themes like Betrayal and often engage with Other type content. On the other hand, they are less interested in genres like Drama, Action, sub-genres such as Buddy, and tend to avoid themes like Adventure, Family Bonds, Friendship especially in Other, Series formats."
user_29,"user_29 tends to enjoy content in the genres of Family, Comedy, Drama with sub-genres such as Slice of Life, Crime, Fantasy, Coming-of-Age. They particularly appreciate themes like Betrayal, Courage, Friendship, Family Bonds and often engage with Movie, Other type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_81,"user_81 tends to enjoy content in the genres of Sci-Fi, Drama, Comedy with sub-genres such as Slice of Life. They particularly appreciate themes like Family Bonds, Adventure, Love and often engage with Series, Movie, Other type content. On the other hand, they are less interested in genres like Romance, Sci-Fi, Action, Family, sub-genres such as Fantasy, Crime, Buddy, and tend to avoid themes like Love, Family Bonds, Betrayal, Adventure, Courage especially in Other, Movie, Series formats."
user_8,"user_8 tends to enjoy content in the genres of Action, Romance, Thriller, Drama, Comedy with sub-genres such as Buddy, Fantasy, Slice of Life, Coming-of-Age, Crime. They particularly appreciate themes like Love, Courage, Friendship, Betrayal, Adventure and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Drama, Family, sub-genres such as Buddy, Coming-of-Age, and tend to avoid themes like Adventure especially in Other, Movie formats."
user_50,"user_50 tends to enjoy content in the genres of Romance, Family with sub-genres such as Buddy, Fantasy, Coming-of-Age. They particularly appreciate themes like Courage, Love, Friendship and often engage with Movie, Series, Other type content. On the other hand, they are less interested in genres like Action, Family, Thriller, sub-genres such as Fantasy, Crime, Coming-of-Age, and tend to avoid themes like Love, Friendship, Family Bonds, Adventure especially in Series, Other, Movie formats."
user_79,"user_79 tends to enjoy content in the genres of Family, Drama with sub-genres such as Coming-of-Age, Fantasy. They particularly appreciate themes like Friendship, Family Bonds and often engage with Other type content. On the other hand, they are less interested in genres like Action, Thriller, sub-genres such as Coming-of-Age, Buddy, and tend to avoid themes like Adventure, Betrayal especially in Movie, Other formats."
user_58,"user_58 tends to enjoy content in the genres of Action, Sci-Fi, Drama with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Adventure, Betrayal and often engage with Series, Other type content. On the other hand, they are less interested in genres like Romance, Comedy, Action, sub-genres such as Crime, Fantasy, Buddy, and tend to avoid themes like Adventure, Courage, Betrayal especially in Other formats."
user_19,"user_19 tends to enjoy content in the genres of Drama, Family with sub-genres such as Slice of Life, Coming-of-Age, Buddy, Fantasy. They particularly appreciate themes like Friendship, Love, Adventure, Family Bonds and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Drama, Thriller, sub-genres such as Slice of Life, Coming-of-Age, and tend to avoid themes like Adventure, Betrayal especially in Other, Series formats."
user_98,"user_98 tends to enjoy content in the genres of Sci-Fi, Romance, Drama, Family with sub-genres such as Buddy, Crime, Fantasy, Coming-of-Age. They particularly appreciate themes like Courage, Family Bonds, Adventure, Betrayal and often engage with Other, Movie type content. On the other hand, they are less interested in genres like Thriller, Comedy, sub-genres such as Slice of Life, and tend to avoid themes like Adventure especially in Movie formats."
user_59,"user_59 tends to enjoy content in the genres of Thriller, Sci-Fi, Family with sub-genres such as Crime, Buddy. They particularly appreciate themes like Adventure and often engage with Series, Other, Movie type content. On the other hand, they are less interested in genres like Drama, Sci-Fi, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Family Bonds, Adventure especially in Other formats."
user_78,"user_78 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Family, sub-genres such as Crime, and tend to avoid themes like Family Bonds especially in Movie formats."
user_95,"user_95 tends to enjoy content in the genres of Comedy, Sci-Fi, Action, Family with sub-genres such as Buddy, Coming-of-Age, Crime, Fantasy. They particularly appreciate themes like Adventure, Betrayal, Friendship, Love and often engage with Other, Series, Movie type content. On the other hand, they are less interested in genres like Sci-Fi, Action, Drama, sub-genres such as Coming-of-Age, Fantasy, Slice of Life, and tend to avoid themes like Love, Friendship, Family Bonds especially in Other, Series formats."
user_64,"user_64 tends to enjoy content in the genres of Comedy, Romance, Family with sub-genres such as Slice of Life, Crime, Buddy. They particularly appreciate themes like Friendship, Courage, Betrayal, Adventure, Love and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Comedy, Drama, sub-genres such as Buddy, Slice of Life, and tend to avoid themes like Family Bonds, Friendship especially in Movie, Series, Other formats."
user_42,"user_42 tends to enjoy content in the genres of Comedy, Family with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Adventure, Courage and often engage with Other type content. On the other hand, they are less interested in genres like Romance, Drama, sub-genres such as Buddy, Slice of Life, Crime, and tend to avoid themes like Love, Friendship, Betrayal especially in Movie, Other, Series formats."
user_47,"user_47 tends to enjoy content in the genres of Comedy, Thriller, Drama with sub-genres such as Coming-of-Age, Slice of Life. They particularly appreciate themes like Family Bonds, Adventure, Betrayal and often engage with Series type content. On the other hand, they are less interested in genres like Thriller, Comedy, Romance, sub-genres such as Fantasy, Crime, Buddy, and tend to avoid themes like Friendship, Love, Family Bonds especially in Other, Series formats."
user_72,"user_72 tends to enjoy content in the genres of Action, Drama with sub-genres such as Slice of Life, Fantasy. They particularly appreciate themes like Adventure, Friendship and often engage with Other type content. On the other hand, they are less interested in genres like Thriller, Sci-Fi, Action, Comedy, sub-genres such as Crime, Coming-of-Age, Buddy, Slice of Life, and tend to avoid themes like Family Bonds, Adventure, Betrayal, Courage, Love especially in Other, Movie, Series formats."
user_93,"user_93 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Drama, Comedy, Family, sub-genres such as Slice of Life, Fantasy, Buddy, and tend to avoid themes like Family Bonds, Friendship especially in Other, Movie formats."
user_23,"user_23 tends to enjoy content in the genres of Romance with sub-genres such as Fantasy, Buddy. They particularly appreciate themes like Betrayal, Family Bonds and often engage with Other type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Crime, Coming-of-Age, and tend to avoid themes like Love, Friendship, Betrayal especially in Other, Movie formats."
user_70,"user_70 tends to enjoy content in the genres of Drama with sub-genres such as Fantasy. They particularly appreciate themes like Courage and often engage with Other type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Coming-of-Age, and tend to avoid themes like Adventure especially in Series formats."
user_51,"user_51 tends to enjoy content in the genres of Drama, Sci-Fi with sub-genres such as Crime, Coming-of-Age. They particularly appreciate themes like Love, Family Bonds and often engage with Other, Series type content. On the other hand, they are less interested in genres like Sci-Fi, Family, sub-genres such as Crime, Slice of Life, Fantasy, and tend to avoid themes like Love, Betrayal especially in Other, Movie formats."
user_1,"user_1 tends to enjoy content in the genres of Family, Sci-Fi, Thriller with sub-genres such as Slice of Life, Fantasy, Coming-of-Age. They particularly appreciate themes like Betrayal, Love, Family Bonds and often engage with Movie, Series type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Buddy, Coming-of-Age, and tend to avoid themes like Adventure, Betrayal, Courage especially in Series, Movie formats."
user_94,"user_94 tends to enjoy content in the genres of Family, Action with sub-genres such as Crime, Coming-of-Age, Fantasy. They particularly appreciate themes like Friendship, Love, Betrayal and often engage with Other, Series type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Crime, and tend to avoid themes like Family Bonds especially in Other formats."
user_38,"user_38 tends to enjoy content in the genres of Family, Action, Sci-Fi, Drama with sub-genres such as Buddy, Fantasy, Slice of Life. They particularly appreciate themes like Courage, Family Bonds, Friendship, Betrayal and often engage with Series, Other, Movie type content. On the other hand, they are less interested in genres like Drama, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Adventure especially in Other formats."
user_85,"user_85 tends to enjoy content in the genres of Sci-Fi, Family, Drama, Thriller, Comedy with sub-genres such as Crime, Fantasy, Slice of Life. They particularly appreciate themes like Friendship, Love, Family Bonds, Adventure and often engage with Series, Movie, Other type content. On the other hand, they are less interested in genres like Family, Action, Comedy, sub-genres such as Fantasy, Slice of Life, Crime, Coming-of-Age, and tend to avoid themes like Adventure, Love, Family Bonds especially in Movie, Other formats."
user_33,"user_33 tends to enjoy content in the genres of Romance, Drama, Comedy, Action, Family with sub-genres such as Coming-of-Age, Buddy, Slice of Life. They particularly appreciate themes like Courage, Adventure, Betrayal and often engage with Series, Other type content. On the other hand, they are less interested in genres like Romance, Comedy, sub-genres such as Buddy, Slice of Life, and tend to avoid themes like Courage, Betrayal especially in Movie, Other formats."
user_18,"user_18 tends to enjoy content in the genres of Family, Sci-Fi with sub-genres such as Crime. They particularly appreciate themes like Betrayal, Love and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Comedy, Romance, sub-genres such as Buddy, Coming-of-Age, Crime, and tend to avoid themes like Friendship, Courage, Love especially in Other, Movie formats."
user_35,"user_35 tends to enjoy content in the genres of Action, Comedy, Thriller with sub-genres such as Crime, Slice of Life, Buddy. They particularly appreciate themes like Betrayal, Friendship, Family Bonds, Courage and often engage with Movie, Series type content. On the other hand, they are less interested in genres like Action, sub-genres such as Crime, Slice of Life, and tend to avoid themes like Courage especially in Series, Movie formats."
user_41,"user_41 tends to enjoy content in the genres of Thriller with sub-genres such as Buddy. They particularly appreciate themes like Family Bonds and often engage with Movie type content. On the other hand, they are less interested in genres like Comedy, Family, Sci-Fi, sub-genres such as Fantasy, Coming-of-Age, Buddy, and tend to avoid themes like Courage, Love, Adventure especially in Series, Movie, Other formats."
user_88,"user_88 tends to enjoy content in the genres of Drama with sub-genres such as Crime, Buddy. They particularly appreciate themes like Betrayal, Adventure and often engage with Series, Other type content. On the other hand, they are less interested in genres like Sci-Fi, Drama, Family, Thriller, sub-genres such as Coming-of-Age, Buddy, Crime, and tend to avoid themes like Courage, Friendship, Betrayal, Family Bonds especially in Other, Movie, Series formats."
user_97,"user_97 tends to enjoy content in the genres of Comedy with sub-genres such as Slice of Life, Buddy. They particularly appreciate themes like Betrayal, Adventure and often engage with Movie, Other type content. On the other hand, they are less interested in genres like Romance, sub-genres such as Fantasy, and tend to avoid themes like Courage especially in Other formats."
user_96,"user_96 tends to enjoy content in the genres of Comedy, Family, Thriller, Romance with sub-genres such as Coming-of-Age, Crime, Slice of Life. They particularly appreciate themes like Love, Adventure, Family Bonds, Friendship and often engage with Movie, Other, Series type content. On the other hand, they are less interested in genres like Drama, Sci-Fi, Action, Family, Romance, Comedy, sub-genres such as Fantasy, Coming-of-Age, Slice of Life, Buddy, Crime, and tend to avoid themes like Friendship, Family Bonds, Betrayal, Courage especially in Other, Movie formats."
user_71,"user_71 tends to enjoy content in the genres of Drama with sub-genres such as Coming-of-Age. They particularly appreciate themes like Courage and often engage with Other type content. On the other hand, they are less interested in genres like Action, Thriller, sub-genres such as Crime, Slice of Life, Fantasy, and tend to avoid themes like Love, Courage especially in Other, Movie formats."
user_21,"user_21 tends to enjoy content in the genres of Family, Action, Sci-Fi, Comedy with sub-genres such as Coming-of-Age, Buddy, Fantasy. They particularly appreciate themes like Adventure, Betrayal, Friendship, Family Bonds, Love and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Thriller, Family, sub-genres such as Slice of Life, Coming-of-Age, and tend to avoid themes like Family Bonds, Betrayal especially in Other formats."
user_90,"user_90 tends to enjoy content in the genres of Drama, Sci-Fi with sub-genres such as Fantasy, Coming-of-Age. They particularly appreciate themes like Love, Courage and often engage with Series, Other type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_48,"user_48 tends to enjoy content in the genres of Action, Thriller with sub-genres such as Slice of Life, Buddy. They particularly appreciate themes like Courage, Love and often engage with Other type content. On the other hand, they are less interested in genres like Thriller, sub-genres such as Crime, and tend to avoid themes like Friendship especially in Other formats."
